orderitemid,orderid,itemid
1,1,13
2,2,3
3,3,16
4,4,1
5,5,7
6,6,3
7,7,11
8,8,15
9,9,3
10,10,16
11,11,13
12,12,12
13,13,6
14,14,1
15,15,3
16,16,4
17,17,17
18,18,7
19,19,15
20,20,12
21,21,18
22,22,17
23,23,14
24,24,5
25,25,4
26,26,14
27,27,9
28,28,5
29,29,12
30,30,8
31,31,13
32,32,9
33,33,7
34,34,3
35,35,18
36,36,7
37,37,2
38,38,12
39,39,16
40,40,3
41,41,11
42,42,11
43,43,9
44,44,2
45,45,15
46,46,11
47,47,7
48,48,4
49,49,3
50,50,2
51,51,14
52,52,7
53,53,17
54,54,18
55,55,8
56,56,9
57,57,13
58,58,18
59,59,18
60,60,17
61,61,4
62,62,19
63,63,20
64,64,8
65,65,5
66,66,16
67,67,5
68,68,14
69,69,7
70,70,14
71,71,6
72,72,11
73,73,14
74,74,1
75,75,15
76,76,12
77,77,17
78,78,14
79,79,2
80,80,7
81,81,2
82,82,11
83,83,7
84,84,17
85,85,18
86,86,6
87,87,17
88,88,17
89,89,11
90,90,9
91,91,12
92,92,8
93,93,13
94,94,11
95,95,10
96,96,14
97,97,7
98,98,6
99,99,4
100,100,2
101,101,7
102,102,4
103,103,10
104,104,3
105,105,16
106,106,20
107,107,17
108,108,14
109,109,17
110,110,15
111,111,18
112,112,15
113,113,13
114,114,11
115,115,20
116,116,18
117,117,10
118,118,4
119,119,12
120,120,4
121,121,10
122,122,14
123,123,12
124,124,16
125,125,4
126,126,10
127,127,10
128,128,8
129,129,20
130,130,14
131,131,6
132,132,18
133,133,1
134,134,3
135,135,20
136,136,10
137,137,8
138,138,11
139,139,8
140,140,4
141,141,20
142,142,7
143,143,11
144,144,19
145,145,15
146,146,2
147,147,3
148,148,16
149,149,10
150,150,15
151,151,10
152,152,20
153,153,19
154,154,4
155,155,9
156,156,2
157,157,7
158,158,3
159,159,14
160,160,17
161,161,18
162,162,15
163,163,3
164,164,1
165,165,17
166,166,19
167,167,9
168,168,11
169,169,9
170,170,7
171,171,16
172,172,3
173,173,12
174,174,16
175,175,1
176,176,13
177,177,9
178,178,13
179,179,18
180,180,8
181,181,20
182,182,15
183,183,1
184,184,13
185,185,9
186,186,3
187,187,16
188,188,13
189,189,1
190,190,19
191,191,6
192,192,11
193,193,17
194,194,7
195,195,20
196,196,20
197,197,8
198,198,15
199,199,4
200,200,3
201,201,18
202,202,2
203,203,13
204,204,13
205,205,20
206,206,4
207,207,1
208,208,3
209,209,13
210,210,15
211,211,18
212,212,3
213,213,1
214,214,3
215,215,5
216,216,15
217,217,12
218,218,5
219,219,4
220,220,2
221,221,14
222,222,13
223,223,16
224,224,20
225,225,15
226,226,3
227,227,7
228,228,19
229,229,20
230,230,20
231,231,5
232,232,14
233,233,13
234,234,19
235,235,6
236,236,20
237,237,8
238,238,4
239,239,14
240,240,4
241,241,9
242,242,17
243,243,10
244,244,11
245,245,20
246,246,14
247,247,13
248,248,20
249,249,18
250,250,19
251,251,16
252,252,9
253,253,7
254,254,19
255,255,19
256,256,7
257,257,12
258,258,12
259,259,15
260,260,4
261,261,1
262,262,17
263,263,6
264,264,12
265,265,8
266,266,20
267,267,19
268,268,15
269,269,4
270,270,7
271,271,10
272,272,18
273,273,10
274,274,20
275,275,10
276,276,4
277,277,4
278,278,16
279,279,13
280,280,2
281,281,20
282,282,17
283,283,17
284,284,17
285,285,3
286,286,2
287,287,7
288,288,1
289,289,1
290,290,13
291,291,8
292,292,7
293,293,20
294,294,6
295,295,4
296,296,16
297,297,18
298,298,5
299,299,17
300,300,17
301,301,13
302,302,7
303,303,17
304,304,5
305,305,19
306,306,7
307,307,7
308,308,17
309,309,16
310,310,18
311,311,2
312,312,18
313,313,17
314,314,18
315,315,12
316,316,2
317,317,13
318,318,8
319,319,4
320,320,2
321,321,8
322,322,7
323,323,2
324,324,2
325,325,11
326,326,19
327,327,19
328,328,6
329,329,6
330,330,16
331,331,1
332,332,8
333,333,20
334,334,3
335,335,7
336,336,16
337,337,13
338,338,9
339,339,5
340,340,19
341,341,13
342,342,4
343,343,4
344,344,4
345,345,20
346,346,13
347,347,6
348,348,8
349,349,17
350,350,4
351,351,10
352,352,9
353,353,11
354,354,15
355,355,3
356,356,16
357,357,9
358,358,17
359,359,4
360,360,5
361,361,14
362,362,13
363,363,20
364,364,9
365,365,4
366,366,9
367,367,14
368,368,13
369,369,2
370,370,4
371,371,4
372,372,7
373,373,6
374,374,8
375,375,10
376,376,1
377,377,1
378,378,15
379,379,5
380,380,8
381,381,1
382,382,15
383,383,16
384,384,16
385,385,15
386,386,19
387,387,14
388,388,18
389,389,4
390,390,9
391,391,6
392,392,13
393,393,5
394,394,9
395,395,8
396,396,11
397,397,8
398,398,7
399,399,20
400,400,7
401,401,8
402,402,17
403,403,17
404,404,19
405,405,6
406,406,12
407,407,19
408,408,16
409,409,13
410,410,5
411,411,10
412,412,3
413,413,17
414,414,9
415,415,18
416,416,20
417,417,12
418,418,7
419,419,4
420,420,6
421,421,4
422,422,10
423,423,15
424,424,11
425,425,13
426,426,16
427,427,6
428,428,9
429,429,17
430,430,18
431,431,4
432,432,10
433,433,14
434,434,17
435,435,18
436,436,14
437,437,19
438,438,18
439,439,8
440,440,6
441,441,11
442,442,16
443,443,20
