orderid,itemid
1,4
2,17
3,7
4,9
5,12
6,5
7,15
8,14
9,9
10,11
11,8
12,19
13,19
14,16
15,4
16,19
17,9
18,7
19,10
20,18
21,3
22,12
23,17
24,14
25,1
26,15
27,12
28,15
29,12
30,4
31,2
32,17
33,14
34,14
35,6
36,3
37,15
38,13
39,20
40,9
41,9
42,5
43,9
44,2
45,11
46,12
47,20
48,13
49,15
50,1
51,6
52,8
53,16
54,15
55,15
56,15
57,7
58,1
59,13
60,20
61,17
62,20
63,8
64,18
65,6
66,4
67,14
68,20
69,15
70,4
71,13
72,19
73,20
74,11
75,5
76,15
77,10
78,18
79,4
80,14
81,14
82,13
83,15
84,10
85,7
86,4
87,9
88,6
89,6
90,12
91,16
92,7
93,20
94,20
95,12
96,5
97,14
98,16
99,15
100,3
101,15
102,16
103,6
104,19
105,13
106,19
107,5
108,20
109,14
110,4
111,19
112,13
113,11
114,5
115,3
116,13
117,6
118,8
119,12
120,2
121,8
122,8
123,7
124,11
125,5
126,13
127,7
128,17
129,9
130,18
131,4
132,2
133,6
134,3
135,11
136,8
137,11
138,20
139,3
140,10
141,18
142,16
143,2
144,18
145,12
146,15
147,12
148,7
149,6
150,13
151,3
152,5
153,17
154,14
155,2
156,3
157,2
158,15
159,20
160,16
161,7
162,14
163,2
164,16
165,3
166,15
167,13
168,6
169,19
170,16
171,17
172,14
173,20
174,5
175,3
176,4
177,9
178,8
179,1
180,18
181,19
182,5
183,20
184,9
185,2
186,15
187,10
188,11
189,20
190,2
191,18
192,19
193,9
194,6
195,14
196,1
197,20
198,8
199,13
200,6
201,12
202,6
203,8
204,5
205,16
206,14
207,13
208,14
209,15
210,15
211,4
212,11
213,2
214,2
215,4
216,13
217,3
218,7
219,14
220,18
221,18
222,11
223,1
224,8
225,10
226,6
227,8
228,14
229,13
230,8
231,6
232,12
233,8
234,4
235,7
236,2
237,15
238,13
239,10
240,2
241,17
242,13
243,16
244,11
245,12
246,12
247,17
248,16
249,1
250,1
251,17
252,13
253,18
254,19
255,9
256,5
257,14
258,19
259,13
260,20
261,10
262,5
263,17
264,18
265,19
266,3
267,16
268,2
269,13
270,11
271,3
272,1
273,3
274,9
275,20
276,12
277,5
278,4
279,7
280,1
281,10
282,16
283,12
284,3
285,16
286,2
287,10
288,20
289,13
290,18
291,6
292,9
293,9
294,12
295,9
296,4
297,9
298,15
299,9
300,8
301,6
302,1
303,19
304,6
305,20
306,8
307,8
308,4
309,10
310,3
311,7
312,13
313,8
314,13
315,2
316,19
317,16
318,13
319,10
320,10
321,12
322,5
323,4
324,8
325,11
326,5
327,12
328,18
329,15
330,1
331,1
332,7
333,10
334,7
335,10
336,4
337,18
338,8
339,3
340,15
341,14
342,6
343,12
344,11
345,20
346,3
347,20
348,10
349,11
350,7
351,1
352,13
353,4
354,11
355,7
356,13
357,9
358,15
359,3
360,18
361,14
362,8
363,3
364,20
365,4
366,6
367,9
368,8
369,13
370,17
371,4
372,8
373,8
374,2
375,20
376,17
377,6
378,15
379,8
380,10
381,7
382,17
383,4
384,2
385,16
386,10
387,20
388,6
389,11
390,20
391,14
392,16
393,12
394,3
395,6
396,16
397,6
398,16
399,20
400,6
401,10
402,17
403,4
404,18
405,14
406,5
407,10
408,3
409,7
410,16
411,8
412,17
413,19
414,16
415,7
416,10
417,15
418,8
419,13
420,6
421,5
422,16
423,8
424,1
425,4
426,19
427,4
428,20
429,16
430,18
431,13
432,12
433,17
434,3
435,1
436,3
437,13
438,4
439,2
440,9
441,18
442,1
443,11
444,5
445,5
446,3
447,19
448,6
449,10
450,8
451,4
452,9
453,8
454,17
455,17
456,5
457,1
458,3
459,16
460,2
461,15
462,18
463,1
464,18
465,2
466,14
467,19
468,18
469,13
470,2
471,4
472,18
473,8
474,13
475,10
476,11
477,16
478,19
479,3
480,9
481,19
482,5
483,2
484,6
485,18
486,16
487,8
488,18
489,4
490,17
491,4
492,12
493,10
494,7
495,16
496,3
497,14
498,11
499,1
500,16
501,12
502,10
503,20
504,13
505,11
506,20
507,8
508,18
509,9
510,15
511,19
512,2
513,15
514,2
515,8
516,17
517,13
518,9
519,1
520,7
521,17
522,3
523,2
524,8
525,12
526,20
527,17
528,20
529,19
530,6
531,13
532,1
533,8
534,4
535,18
536,1
537,3
538,18
539,11
540,14
541,11
542,4
543,2
544,7
545,6
546,10
547,13
548,19
549,2
550,3
551,7
552,12
553,5
554,19
555,20
556,14
557,7
558,19
559,15
560,12
561,12
562,6
563,12
564,12
565,1
566,4
567,12
568,11
569,13
570,13
571,6
572,4
573,12
574,3
575,10
576,18
577,3
578,5
579,7
580,12
581,5
582,17
583,2
584,4
585,19
586,20
587,4
588,5
589,13
590,4
591,9
592,1
593,2
594,18
595,12
596,15
597,7
598,10
599,1
600,19
601,18
602,2
603,20
604,9
605,4
606,1
607,3
608,7
609,14
610,5
611,16
612,13
613,18
614,18
615,9
616,20
617,10
618,12
619,13
620,17
621,2
622,16
623,19
624,6
625,15
626,16
627,15
628,6
629,4
630,17
631,14
632,1
633,16
634,18
635,10
636,17
637,12
638,11
639,15
640,2
641,18
642,14
643,13
644,14
645,19
646,10
647,5
648,14
649,1
650,1
651,19
652,7
653,6
654,16
655,18
656,10
657,17
658,12
659,20
660,17
661,11
662,11
663,11
664,19
665,12
666,14
667,8
668,13
669,1
670,19
671,5
672,7
673,13
674,18
675,19
676,17
677,16
678,14
679,7
680,11
681,19
682,6
683,2
684,15
685,5
686,2
687,8
688,3
689,4
690,11
691,5
692,2
693,14
694,18
695,3
696,1
697,11
698,2
699,9
700,19
701,14
702,16
703,3
704,6
705,17
706,9
707,20
708,8
709,14
710,17
711,14
712,9
713,7
714,12
715,4
716,7
717,7
718,18
719,18
720,4
721,20
722,9
723,1
724,2
725,10
726,20
727,1
728,14
729,1
730,12
731,19
732,18
733,17
734,12
735,6
736,6
737,16
738,1
739,14
740,19
741,4
742,14
743,16
744,13
745,12
746,18
747,14
748,11
749,16
750,16
751,6
752,2
753,13
754,18
755,18
756,6
757,14
758,2
759,5
760,16
761,13
762,8
763,2
764,13
765,4
766,6
767,7
768,3
769,15
770,10
771,19
772,10
773,1
774,11
775,16
776,18
777,12
778,15
779,1
780,20
781,4
782,20
783,4
784,15
785,9
786,10
787,3
788,1
789,11
790,6
791,8
792,20
793,4
794,4
795,11
796,6
797,10
798,7
799,5
800,7
801,4
802,19
803,19
804,3
805,19
806,18
807,16
808,20
809,19
810,3
811,8
812,9
813,6
814,11
815,11
816,15
817,9
818,18
819,12
820,18
821,19
822,17
823,2
824,5
825,7
826,4
827,1
828,15
829,15
830,1
831,13
832,19
833,6
834,6
835,6
836,16
837,14
838,7
839,14
840,19
841,4
842,20
843,15
844,8
845,12
846,17
847,11
848,17
849,10
850,12
851,7
852,9
853,15
854,20
855,13
856,12
857,1
858,16
859,5
860,9
861,20
862,7
863,1
864,15
865,4
866,16
867,4
868,6
869,7
870,15
871,19
872,2
873,2
874,17
875,8
876,1
877,8
878,18
879,18
880,4
881,16
882,2
883,19
884,5
885,2
886,8
887,6
888,17
889,15
890,6
891,5
892,14
893,11
894,4
895,9
896,18
897,6
898,13
899,13
900,1
901,2
902,19
903,2
904,11
905,6
906,15
907,16
908,19
909,17
910,11
911,14
912,12
913,5
914,7
915,3
916,6
917,17
918,12
919,1
920,7
921,1
922,13
923,11
924,18
925,17
926,9
927,11
928,18
929,10
930,10
931,12
932,12
933,14
934,11
935,20
936,1
937,11
938,16
939,16
940,6
941,11
942,18
943,20
944,3
945,7
946,7
947,16
948,5
949,18
950,20
951,7
952,12
953,17
954,4
955,8
956,18
957,5
958,5
959,3
960,8
961,11
962,6
963,13
964,18
965,8
966,12
967,11
968,19
969,14
970,18
